date,actual,pred,residual
2011/1/27,0.004375288,0.004375188,1.00E-07
2011/1/28,0.004375283,0.004375268,1.50E-08
2011/1/29,0.004375275,0.004375263,1.16E-08
2011/1/30,0.00437513,0.004375254,-1.24E-07
2011/1/31,0.00437519,0.00437512,6.98E-08
2011/2/1,0.00437525,0.004375183,6.69E-08
2011/2/2,0.004375245,0.004375214,3.04E-08
2011/2/3,0.004375238,0.004375225,1.25E-08
2011/2/4,0.004375232,0.004375222,1.06E-08
2011/2/5,0.004375226,0.004375209,1.75E-08
2011/2/6,0.004375221,0.004375206,1.47E-08
2011/2/7,0.004375212,0.0043752,1.19E-08
2011/2/8,0.004375209,0.00437519,1.89E-08
2011/2/9,0.004375199,0.004375188,1.17E-08
2011/2/10,0.004375191,0.004375178,1.36E-08
2011/2/11,0.004375183,0.00437517,1.29E-08
2011/2/12,0.004375173,0.004375161,1.21E-08
2011/2/13,0.004375167,0.004375152,1.52E-08
2011/2/14,0.004375157,0.004375146,1.08E-08
2011/2/15,0.004375146,0.004375135,1.11E-08
2011/2/16,0.004375138,0.004375126,1.17E-08
2011/2/17,0.004375134,0.004375117,1.68E-08
2011/2/18,0.004375124,0.004375113,1.11E-08
2011/2/19,0.004375109,0.004375103,5.51E-09
2011/2/20,0.004375092,0.004375089,2.43E-09
2011/2/21,0.004375054,0.004375073,-1.88E-08
2011/2/22,0.004375044,0.004375038,5.58E-09
2011/2/23,0.004375032,0.004375029,3.13E-09
2011/2/24,0.004375026,0.004375015,1.07E-08
2011/2/25,0.004375019,0.004375011,8.28E-09
2011/2/26,0.004375004,0.004375005,-5.83E-10
2011/2/27,0.004374995,0.00437499,4.29E-09
2011/2/28,0.004374986,0.004374983,3.28E-09
2011/3/1,0.004374977,0.004374974,3.68E-09
2011/3/2,0.004374969,0.004374966,2.47E-09
2011/3/3,0.004374959,0.004374958,7.89E-10
2011/3/4,0.00437495,0.00437495,5.35E-12
2011/3/5,0.004374939,0.004374941,-1.98E-09
