date,actual,pred,residual
2016/3/9,0.062290162,0.062290085,7.72E-08
2016/3/10,0.062290162,0.062290176,-1.33E-08
2016/3/11,0.062290191,0.062290175,1.64E-08
2016/3/12,0.062290239,0.062290205,3.42E-08
2016/3/13,0.062290255,0.062290251,3.95E-09
2016/3/14,0.062290267,0.062290266,8.06E-10
2016/3/15,0.0622903,0.062290277,2.32E-08
2016/3/16,0.062290334,0.062290309,2.45E-08
2016/3/17,0.06229039,0.062290341,4.90E-08
2016/3/18,0.062290408,0.062290394,1.35E-08
2016/3/19,0.062290416,0.062290411,5.04E-09
2016/3/20,0.06229042,0.062290419,1.48E-09
2016/3/21,0.062290427,0.062290422,5.14E-09
2016/3/22,0.062290426,0.062290428,-1.76E-09
2016/3/23,0.062290418,0.062290426,-7.79E-09
2016/3/24,0.062290401,0.062290419,-1.83E-08
2016/3/25,0.062290385,0.062290402,-1.74E-08
2016/3/26,0.062290365,0.062290387,-2.28E-08
2016/3/27,0.062290349,0.062290368,-1.89E-08
2016/3/28,0.062290337,0.062290353,-1.70E-08
2016/3/29,0.062290327,0.062290342,-1.47E-08
2016/3/30,0.062290318,0.062290333,-1.48E-08
2016/3/31,0.062290314,0.062290324,-1.03E-08
2016/4/1,0.062290314,0.062290321,-6.38E-09
2016/4/2,0.06229032,0.062290321,-1.41E-09
2016/4/3,0.062290331,0.062290326,4.41E-09
2016/4/4,0.062290339,0.062290337,1.34E-09
2016/4/5,0.062290344,0.062290345,-4.72E-10
2016/4/6,0.062290348,0.06229035,-2.15E-09
2016/4/7,0.062290353,0.062290354,-6.22E-10
2016/4/8,0.062290362,0.062290358,3.25E-09
2016/4/9,0.062290366,0.062290367,-2.73E-10
2016/4/10,0.06229037,0.062290371,-5.59E-10
2016/4/11,0.062290376,0.062290375,1.04E-09
2016/4/12,0.062290381,0.06229038,1.85E-09
2016/4/13,0.062290387,0.062290385,1.76E-09
2016/4/14,0.062290392,0.06229039,2.11E-09
2016/4/15,0.062290408,0.062290395,1.30E-08
2016/4/16,0.062290424,0.06229041,1.42E-08
2016/4/17,0.062290442,0.062290425,1.66E-08
2016/4/18,0.062290456,0.062290442,1.46E-08
2016/4/19,0.062290471,0.062290455,1.59E-08
2016/4/20,0.062290491,0.062290469,2.21E-08
2016/4/21,0.062290487,0.062290486,4.81E-10
2016/4/22,0.06229047,0.062290483,-1.32E-08
2016/4/23,0.062290437,0.062290466,-2.97E-08
2016/4/24,0.062290394,0.062290435,-4.09E-08
2016/4/25,0.062290349,0.062290395,-4.59E-08
2016/4/26,0.062290309,0.062290352,-4.27E-08
2016/4/27,0.062290266,0.062290314,-4.86E-08
2016/4/28,0.062290162,0.062290272,-1.10E-07
2016/4/29,0.062290161,0.06229017,-9.52E-09
2016/4/30,0.062290197,0.062290173,2.40E-08
2016/5/1,0.06229021,0.062290207,3.12E-09
2016/5/2,0.062290203,0.062290221,-1.83E-08
2016/5/3,0.062290164,0.062290215,-5.14E-08
2016/5/4,0.062290198,0.062290176,2.25E-08
2016/5/5,0.062290231,0.06229021,2.04E-08
2016/5/6,0.062290223,0.062290241,-1.83E-08
2016/5/7,0.062290227,0.062290234,-7.38E-09
2016/5/8,0.062290255,0.062290238,1.66E-08
2016/5/9,0.062290253,0.062290265,-1.22E-08
2016/5/10,0.062290244,0.062290263,-1.83E-08
2016/5/11,0.062290262,0.062290255,7.41E-09
2016/5/12,0.062290277,0.062290272,4.76E-09
2016/5/13,0.062290305,0.062290286,1.91E-08
2016/5/14,0.062290268,0.062290313,-4.50E-08
2016/5/15,0.062290271,0.062290277,-5.71E-09
2016/5/16,0.062290271,0.06229028,-9.27E-09
2016/5/17,0.062290291,0.06229028,1.16E-08
2016/5/18,0.062290296,0.0622903,-4.24E-09
2016/5/19,0.062290313,0.062290304,8.85E-09
2016/5/20,0.062290341,0.06229032,2.02E-08
2016/5/21,0.06229035,0.062290347,3.16E-09
2016/5/22,0.062290296,0.062290356,-6.04E-08
2016/5/23,0.062290342,0.062290303,3.86E-08
2016/5/24,0.06229039,0.062290348,4.19E-08
2016/5/25,0.062290377,0.062290393,-1.64E-08
2016/5/26,0.062290342,0.062290381,-3.85E-08
2016/5/27,0.062290375,0.062290348,2.69E-08
2016/5/28,0.062290403,0.062290379,2.38E-08
2016/5/29,0.062290389,0.062290405,-1.64E-08
2016/5/30,0.06229036,0.062290392,-3.21E-08
2016/5/31,0.062290394,0.062290364,2.99E-08
2016/6/1,0.062290431,0.062290397,3.41E-08
2016/6/2,0.062290389,0.062290431,-4.21E-08
2016/6/3,0.062290306,0.062290392,-8.56E-08
2016/6/4,0.062290217,0.062290312,-9.43E-08
2016/6/5,0.062290198,0.062290224,-2.68E-08
2016/6/6,0.062290177,0.062290207,-2.95E-08
2016/6/7,0.062290178,0.062290187,-9.37E-09
2016/6/8,0.06229023,0.062290189,4.02E-08
2016/6/9,0.062290238,0.062290241,-2.06E-09
2016/6/10,0.062290219,0.062290249,-3.03E-08
2016/6/11,0.062290236,0.06229023,6.15E-09
2016/6/12,0.062290272,0.062290247,2.46E-08
2016/6/13,0.062290273,0.062290281,-8.63E-09
2016/6/14,0.062290234,0.062290282,-4.79E-08
2016/6/15,0.062290247,0.062290244,2.35E-09
2016/6/16,0.06229027,0.062290257,1.27E-08
2016/6/17,0.06229025,0.062290279,-2.81E-08
2016/6/18,0.062290241,0.06229026,-1.86E-08
2016/6/19,0.062290283,0.062290252,3.14E-08
2016/6/20,0.062290282,0.062290292,-9.62E-09
2016/6/21,0.06229027,0.062290291,-2.14E-08
2016/6/22,0.062290256,0.062290279,-2.32E-08
2016/6/23,0.062290298,0.062290265,3.25E-08
2016/6/24,0.062290337,0.062290306,3.08E-08
2016/6/25,0.062290329,0.062290343,-1.43E-08
2016/6/26,0.062290301,0.062290336,-3.51E-08
2016/6/27,0.062290328,0.062290309,1.87E-08
2016/6/28,0.062290327,0.062290334,-7.23E-09
2016/6/29,0.062290328,0.062290333,-4.99E-09
2016/6/30,0.062290314,0.062290335,-2.09E-08
2016/7/1,0.062290336,0.062290321,1.51E-08
2016/7/2,0.062290341,0.062290342,-1.39E-09
2016/7/3,0.062290308,0.062290347,-3.87E-08
2016/7/4,0.062290314,0.062290315,-8.46E-10
2016/7/5,0.062290347,0.062290321,2.58E-08
2016/7/6,0.062290352,0.062290352,-7.96E-10
2016/7/7,0.062290344,0.062290357,-1.35E-08
2016/7/8,0.062290362,0.06229035,1.20E-08
2016/7/9,0.062290381,0.062290367,1.43E-08
2016/7/10,0.062290367,0.062290385,-1.75E-08
2016/7/11,0.062290357,0.062290372,-1.48E-08
2016/7/12,0.062290388,0.062290362,2.63E-08
2016/7/13,0.062290391,0.062290391,3.70E-10
2016/7/14,0.062290406,0.062290394,1.16E-08
2016/7/15,0.062290413,0.062290408,4.51E-09
2016/7/16,0.062290415,0.062290415,6.49E-10
2016/7/17,0.062290421,0.062290417,4.35E-09
2016/7/18,0.062290425,0.062290422,2.58E-09
2016/7/19,0.062290429,0.062290425,3.80E-09
