date,actual,pred,residual
2013/3/16,0.062531223,0.062532232,-1.01E-06
2013/3/17,0.062531133,0.062530532,6.01E-07
2013/3/18,0.062531238,0.062530278,9.59E-07
2013/3/20,0.062531294,0.062531256,3.88E-08
2013/3/21,0.062531307,0.062531085,2.22E-07
2013/3/22,0.062531286,0.062531122,1.64E-07
2013/3/23,0.062531331,0.062531141,1.90E-07
2013/3/25,0.062531681,0.062531153,5.27E-07
2013/3/26,0.062531924,0.062531287,6.37E-07
2013/3/27,0.062531797,0.062531491,3.06E-07
2013/3/28,0.062531718,0.062531596,1.22E-07
2013/3/30,0.062531757,0.062531602,1.55E-07
2013/3/31,0.062531753,0.062531573,1.80E-07
2013/4/1,0.06253174,0.062531551,1.89E-07
2013/4/2,0.062531762,0.062531551,2.11E-07
2013/4/3,0.062531764,0.06253156,2.05E-07
2013/4/5,0.062531778,0.062531563,2.14E-07
2013/4/6,0.062531802,0.062531572,2.29E-07
2013/4/7,0.062531807,0.062531587,2.20E-07
2013/4/8,0.062531853,0.062531599,2.54E-07
2013/4/10,0.062531848,0.062531623,2.25E-07
2013/4/11,0.062531896,0.062531638,2.58E-07
2013/4/13,0.062531888,0.062531662,2.25E-07
2013/4/14,0.062531794,0.062531676,1.17E-07
2013/4/15,0.062531531,0.062531648,-1.17E-07
2013/4/16,0.062531359,0.062531528,-1.68E-07
2013/4/17,0.062531398,0.062531363,3.51E-08
2013/4/19,0.062531542,0.062531263,2.79E-07
2013/4/20,0.062531537,0.062531276,2.61E-07
2013/4/21,0.062531575,0.062531322,2.53E-07
2013/4/24,0.062531627,0.062531371,2.56E-07
2013/4/26,0.062531605,0.06253141,1.94E-07
2013/4/27,0.062531641,0.062531421,2.20E-07
2013/4/28,0.062531659,0.062531441,2.18E-07
2013/4/29,0.062531641,0.062531457,1.84E-07
2013/4/30,0.062531665,0.06253146,2.05E-07
2013/5/2,0.06253167,0.06253147,2.00E-07
2013/5/5,0.062531733,0.062531476,2.58E-07
2013/5/7,0.062531758,0.062531503,2.55E-07
2013/5/8,0.062531757,0.062531535,2.22E-07
2013/5/9,0.062531787,0.062531554,2.33E-07
2013/5/10,0.062531822,0.062531574,2.48E-07
2013/5/12,0.062531811,0.062531596,2.15E-07
2013/5/13,0.062531849,0.062531608,2.41E-07
2013/5/14,0.062531843,0.062531628,2.15E-07
2013/5/15,0.062531843,0.062531637,2.06E-07
2013/5/16,0.062531673,0.062531641,3.30E-08
2013/5/18,0.062531416,0.062531582,-1.67E-07
2013/5/19,0.062531485,0.062531436,4.87E-08
2013/5/20,0.062531613,0.062531346,2.67E-07
2013/5/22,0.062531615,0.062531349,2.67E-07
2013/5/23,0.062531642,0.06253139,2.53E-07
2013/5/24,0.062531658,0.062531439,2.20E-07
2013/5/25,0.062531685,0.062531461,2.25E-07
2013/5/26,0.0625317,0.062531477,2.23E-07
2013/5/28,0.062531697,0.062531496,2.01E-07
2013/5/29,0.062531731,0.062531505,2.26E-07
2013/5/30,0.062531724,0.062531521,2.03E-07
2013/5/31,0.062531723,0.062531529,1.94E-07
2013/6/1,0.062531756,0.062531533,2.23E-07
2013/6/3,0.06253175,0.062531545,2.05E-07
2013/6/4,0.062531775,0.062531552,2.24E-07
2013/6/5,0.062531783,0.062531565,2.18E-07
2013/6/6,0.062531777,0.062531577,2.00E-07
2013/6/7,0.062531817,0.062531581,2.36E-07
2013/6/9,0.06253149,0.062531597,-1.07E-07
2013/6/10,0.062531348,0.062531492,-1.44E-07
2013/6/11,0.062531478,0.062531346,1.32E-07
2013/6/13,0.062531516,0.062531285,2.31E-07
2013/6/14,0.06253155,0.062531285,2.64E-07
2013/6/15,0.062531537,0.062531335,2.02E-07
2013/6/17,0.062531561,0.062531362,1.98E-07
2013/6/18,0.06253156,0.062531373,1.88E-07
2013/6/21,0.062531606,0.062531379,2.27E-07
2013/6/28,0.062531817,0.062531398,4.19E-07
2013/6/29,0.062531781,0.062531489,2.91E-07
2013/6/30,0.062531808,0.062531551,2.58E-07
2013/7/1,0.062531791,0.062531595,1.96E-07
2013/7/2,0.062531815,0.062531604,2.11E-07
2013/7/4,0.062531824,0.062531604,2.20E-07
2013/7/5,0.062531833,0.062531615,2.18E-07
2013/7/6,0.062531859,0.062531623,2.36E-07
2013/7/7,0.062531871,0.06253164,2.31E-07
2013/7/8,0.062531863,0.062531654,2.09E-07
2013/7/10,0.062531881,0.06253166,2.21E-07
2013/7/11,0.062531895,0.062531668,2.27E-07
2013/7/12,0.062531878,0.062531677,2.01E-07
2013/7/13,0.062531889,0.062531678,2.11E-07
2013/7/14,0.062531889,0.062531681,2.08E-07
2013/7/15,0.062531664,0.062531682,-1.79E-08
2013/7/16,0.062531375,0.062531602,-2.27E-07
2013/7/18,0.062531339,0.06253143,-9.12E-08
2013/7/19,0.062531511,0.062531281,2.30E-07
2013/7/20,0.062531543,0.062531256,2.87E-07
2013/7/21,0.062531569,0.062531299,2.70E-07
2013/7/23,0.062531596,0.06253136,2.36E-07
2013/7/24,0.062531587,0.062531398,1.90E-07
2013/7/25,0.062531578,0.062531406,1.72E-07
2013/7/26,0.062531587,0.062531406,1.81E-07
2013/7/28,0.062531604,0.062531405,1.98E-07
2013/7/29,0.062531648,0.062531411,2.38E-07
2013/7/30,0.062531963,0.062531434,5.30E-07
2013/7/31,0.062532277,0.062531564,7.13E-07
2013/8/1,0.062530725,0.062531784,-1.06E-06
2013/8/2,0.062530439,0.062531396,-9.57E-07
2013/8/3,0.062530529,0.062530891,-3.62E-07
2013/8/4,0.062530482,0.062530529,-4.77E-08
2013/8/6,0.06253045,0.062530355,9.57E-08
2013/8/7,0.062530501,0.062530374,1.27E-07
2013/8/8,0.062530851,0.062530388,4.63E-07
2013/8/10,0.062531237,0.062530518,7.19E-07
2013/8/11,0.062531184,0.062530779,4.05E-07
2013/8/12,0.062531028,0.062530959,6.86E-08
